PM2.5,BP,$P_ i->j$,$P_ j->i$
29.02045959872961,-5.240707458162173,0.0,0.0
35.20477938864991,5.164604925736347,14.510229799364804,15.529944663548761
33.07884432668497,0.14485967658119137,17.602389694324955,15.331594955778826
36.88514494385001,7.078849768453605,16.539422163342486,13.266873012053914
27.947189875679854,-6.052302871431612,18.442572471925004,15.556920275186464
37.43108468621845,9.555946328972706,13.973594937839927,13.901543419405812
34.328423687737654,1.8534375133297836,18.715542343109224,13.759443831298642
37.393863664971434,6.670777831146175,17.164211843868827,13.558873989956433
37.26597863476614,5.877238489683297,18.696931832485717,12.691808312597129
25.00401157328693,-5.4506732729776015,18.63298931738307,11.821695528881463
17.322313382740525,-4.950503115059379,12.502005786643466,9.77081071115644
27.88632140473716,5.529953214455549,8.661156691370262,13.695211498911348
13.686713908723632,-8.401975398252286,13.94316070236858,8.145528604607339
25.75538301928266,8.729681421155469,6.843356954361817,10.182344643765374
27.410869468795134,7.609358336889851,12.87769150964133,6.9238196222639505
16.98218629642574,-5.1574787499979635,13.705434734397569,8.43423031202614
24.85425928139437,7.948025895290847,8.49109314821287,8.415140237890656
12.230752071354766,-5.647902442928059,12.427129640697185,5.4515248735856385
12.932629975384662,-0.6520958377580595,6.115376035677384,7.4693497774653395
10.001815884983316,-4.164732242207895,6.466314987692332,7.700233139498882
16.40090234373835,5.448384935920384,5.000907942491658,5.951609465326308
21.511166602170395,3.1074262342211245,8.200451171869176,10.203289196080096
16.125052815304457,0.09423587788165477,10.755583301085199,5.275233636337605
18.352370963240002,1.8383259486994223,8.062526407652228,8.451518606888353
