,seed,train_R2,val_R2,test_R2,all_R2,train_MAE,val_MAE,test_MAE,all_MAE,train_RMSE,val_RMSE,test_RMSE,all_RMSE
0,1457,0.914794199,0.87345438,0.879116768,0.907464261,0.463334113,0.517151117,0.608809173,0.483379871,0.609457499,0.68707544,0.786074088,0.63744811
1,134,0.922168338,0.884982757,0.86849233,0.912671866,0.432632536,0.528904498,0.642114043,0.463362455,0.581067612,0.686683018,0.812157669,0.619251638
2,1342,0.941708937,0.938860833,0.88743083,0.936653613,0.380432189,0.420458049,0.487184048,0.395195156,0.504228799,0.553997067,0.662696758,0.527413201
3,4508,0.917155856,0.914909329,0.883396391,0.91371366,0.453234464,0.402382165,0.531655967,0.456110865,0.606515435,0.563309987,0.725758097,0.615546834
4,4314,0.941018656,0.897438282,0.899673281,0.931603758,0.374940723,0.49250856,0.5017156,0.39942652,0.501065995,0.667440596,0.740003082,0.548032353
5,2055,0.926217359,0.918604053,0.904963903,0.923158686,0.420310348,0.498050153,0.516494155,0.437749863,0.558248907,0.663656335,0.663477988,0.580881404
6,2504,0.943149468,0.886359874,0.90245936,0.934916806,0.37666598,0.502155781,0.460333914,0.397581756,0.507640575,0.661096006,0.599552289,0.534594526
7,2832,0.932612855,0.861906944,0.830163772,0.917082726,0.420103371,0.582418799,0.625115097,0.456939042,0.550093309,0.748915325,0.810801712,0.603410113
8,3581,0.965363241,0.917601897,0.922253169,0.954866019,0.279273301,0.485452116,0.490939647,0.321136743,0.380120563,0.623807461,0.659909038,0.445186413
9,731,0.942649048,0.893729045,0.893736839,0.933626625,0.385582834,0.462116092,0.563272536,0.411139876,0.503237406,0.61812448,0.710453581,0.539867326
,,,,,,,,,,,,,
,,,,0.887168664,0.926575802,,,,,,,,
